periodID,costInput,costDriverInput,costActivity,DataGranularityL1,DataGranularityL2,DataGranularityL3,DataGranularityL4,FlagColumn,runtTimeVersion,scenarioID
202307,-38559.0438,1706819.607,LH 001,Germany,Berlin,0% - 9%,0% - 100%,C,202506081933,1
202308,-63743.29359,1659863.859,LH 001,Germany,Berlin,0% - 9%,0% - 100%,C,202506081933,1
202309,-158545.221,1483106.741,LH 001,Germany,Berlin,0% - 9%,0% - 100%,C,202506081933,1
202310,41209.89534,1855547.889,LH 001,Germany,Berlin,0% - 9%,0% - 100%,Valid,202506081933,1
202311,-20464.31905,1740557.016,LH 001,Germany,Berlin,0% - 9%,0% - 100%,C,202506081933,1
202312,1937734.247,1834171.013,LH 001,Germany,Berlin,0% - 9%,0% - 100%,Valid,202506081933,1
202401,1827475.751,1628595.298,LH 001,Germany,Berlin,0% - 9%,0% - 100%,Valid,202506081933,1
202402,1825996.954,1625838.098,LH 001,Germany,Berlin,0% - 9%,0% - 100%,Valid,202506081933,1
202403,1821999.638,1618385.147,LH 001,Germany,Berlin,0% - 9%,0% - 100%,Valid,202506081933,1
202404,2006828.952,1962997.305,LH 001,Germany,Berlin,0% - 9%,0% - 100%,Valid,202506081933,1
202405,-178880.6566,1445191.552,LH 001,Germany,Berlin,0% - 9%,0% - 100%,C,202506081933,1
202406,-18335.52626,1744526.126,LH 001,Germany,Berlin,0% - 9%,0% - 100%,C,202506081933,1
202407,-33005.42459,1717174.267,LH 001,Germany,Berlin,0% - 9%,0% - 100%,C,202506081933,1
202408,-76396.89378,1636271.365,LH 001,Germany,Berlin,0% - 9%,0% - 100%,C,202506081933,1
202409,1715099.914,1419071.824,LH 001,Germany,Berlin,0% - 9%,0% - 100%,Valid,202506081933,1
202410,1852318.939,1674915.14,LH 001,Germany,Berlin,0% - 9%,0% - 100%,Valid,202506081933,1
202411,1855093.448,1680088.181,LH 001,Germany,Berlin,0% - 9%,0% - 100%,Valid,202506081933,1
202412,1936934.224,1832679.378,LH 001,Germany,Berlin,0% - 9%,0% - 100%,Valid,202506081933,1
202501,1788221.986,1555407.098,LH 001,Germany,Berlin,0% - 9%,0% - 100%,Valid,202506081933,1
202502,1837903.64,1648037.979,LH 001,Germany,Berlin,0% - 9%,0% - 100%,Valid,202506081933,1
202503,1894565.256,1753682.919,LH 001,Germany,Berlin,0% - 9%,0% - 100%,Valid,202506081933,1
202504,1884521.855,1734957.112,LH 001,Germany,Berlin,0% - 9%,0% - 100%,Valid,202506081933,1
202505,1933440.052,1826164.535,LH 001,Germany,Berlin,0% - 9%,0% - 100%,Valid,202506081933,1
202506,1960644.243,1876886.44,LH 001,Germany,Berlin,0% - 9%,0% - 100%,Valid,202506081933,1
202307,1869430.584,1706819.607,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202308,1844246.334,1659863.859,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202309,1749444.407,1483106.741,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202310,1949199.523,1855547.889,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202311,1887525.308,1740557.016,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202312,1937734.247,1834171.013,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202401,1827475.751,1628595.298,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202402,1825996.954,1625838.098,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202403,1821999.638,1618385.147,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202404,2006828.952,1962997.305,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202405,1729108.971,1445191.552,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202406,1889654.101,1744526.126,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202407,1874984.203,1717174.267,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202408,1831592.734,1636271.365,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202409,1715099.914,1419071.824,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202410,1852318.939,1674915.14,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202411,1855093.448,1680088.181,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202412,1936934.224,1832679.378,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202501,1788221.986,1555407.098,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202502,1837903.64,1648037.979,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202503,1894565.256,1753682.919,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202504,1884521.855,1734957.112,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202505,1933440.052,1826164.535,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202506,1960644.243,1876886.44,Route 001,Belgium,Brussels,1) 0%,0% - 100%,Valid,202506081933,1
202307,1869430.584,1706819.607,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Valid,202506081933,1
