isGranular,dataGranularityL1,dataGranularityL2,dataGranularityL3,dataGranularityL4,runtTimeVersion,observationID,obsGroupID,PK_ID,Source
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,1,0,1_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,2,0,2_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,3,0,3_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,4,0,4_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,5,0,5_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,6,0,6_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,7,0,7_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,8,0,8_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,9,0,9_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,10,0,10_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,11,0,11_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,12,0,12_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,13,0,13_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,14,0,14_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,15,0,15_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,16,0,16_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,17,0,17_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,18,0,18_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,19,0,19_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,20,0,20_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,21,0,21_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,22,0,22_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,23,0,23_0_1,Business Input
Y,Belgium,Brussels,9) 160%,0% - 200%,202506081933,24,0,24_0_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,1,1,1_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,2,1,2_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,3,1,3_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,4,1,4_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,5,1,5_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,6,1,6_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,7,1,7_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,8,1,8_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,9,1,9_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,10,1,10_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,11,1,11_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,12,1,12_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,13,1,13_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,14,1,14_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,15,1,15_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,16,1,16_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,17,1,17_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,18,1,18_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,19,1,19_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,20,1,20_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,21,1,21_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,22,1,22_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,23,1,23_1_1,Business Input
Y,Spain,Barcelona,8) 140%,0% - 200%,202506081933,24,1,24_1_1,Business Input
Y,Belgium,Brussels,6) 100%,0% - 200%,202506081933,1,2,1_2_1,Business Input
Y,Belgium,Brussels,6) 100%,0% - 200%,202506081933,2,2,2_2_1,Business Input
Y,Belgium,Brussels,6) 100%,0% - 200%,202506081933,3,2,3_2_1,Business Input
Y,Belgium,Brussels,6) 100%,0% - 200%,202506081933,4,2,4_2_1,Business Input
Y,Belgium,Brussels,6) 100%,0% - 200%,202506081933,5,2,5_2_1,Business Input
Y,Belgium,Brussels,6) 100%,0% - 200%,202506081933,6,2,6_2_1,Business Input
Y,Belgium,Brussels,6) 100%,0% - 200%,202506081933,7,2,7_2_1,Business Input
