observationID,obsGroupID,periodID,costInput,costDriverInput,costActivity,dataGranularityL1,dataGranularityL2,dataGranularityL3,dataGranularityL4,isGranular,runtTimeVersion,PK_ID,Source
1,0,202307,1869430.584,1706819.607,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,1_0_1,Business Input
2,0,202308,1844246.334,1659863.859,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,2_0_1,Business Input
3,0,202309,1749444.407,1483106.741,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,3_0_1,Business Input
4,0,202310,1949199.523,1855547.889,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,4_0_1,Business Input
5,0,202311,2540996.655,1740557.016,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,5_0_1,Business Input
6,0,202312,2754237.977,1834171.013,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,6_0_1,Business Input
7,0,202401,1827475.751,1628595.298,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,7_0_1,Business Input
8,0,202402,1825996.954,1625838.098,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,8_0_1,Business Input
9,0,202403,1821999.638,1618385.147,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,9_0_1,Business Input
10,0,202404,2006828.952,1962997.305,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,10_0_1,Business Input
11,0,202405,2791015.366,1445191.552,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,11_0_1,Business Input
12,0,202406,2722390.867,1744526.126,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,12_0_1,Business Input
13,0,202407,1874984.203,1717174.267,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,13_0_1,Business Input
14,0,202408,1831592.734,1636271.365,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,14_0_1,Business Input
15,0,202409,1715099.914,1419071.824,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,15_0_1,Business Input
16,0,202410,1852318.939,1674915.14,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,16_0_1,Business Input
17,0,202411,3161686.469,1680088.181,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,17_0_1,Business Input
18,0,202412,2870726.663,1832679.378,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,18_0_1,Business Input
19,0,202501,1788221.986,1555407.098,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,19_0_1,Business Input
20,0,202502,1837903.64,1648037.979,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,20_0_1,Business Input
21,0,202503,1894565.256,1753682.919,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,21_0_1,Business Input
22,0,202504,1884521.855,1734957.112,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,22_0_1,Business Input
23,0,202505,3079390.981,1826164.535,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,23_0_1,Business Input
24,0,202506,2564633.901,1876886.44,Route 009,Belgium,Brussels,9) 160%,0% - 200%,Y,202506081933,24_0_1,Business Input
1,1,202307,1869430.584,1706819.607,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,1_1_1,Business Input
2,1,202308,1844246.334,1659863.859,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,2_1_1,Business Input
3,1,202309,1749444.407,1483106.741,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,3_1_1,Business Input
4,1,202310,2903194.337,1855547.889,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,4_1_1,Business Input
5,1,202311,2897531.952,1740557.016,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,5_1_1,Business Input
6,1,202312,4052541.593,1834171.013,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,6_1_1,Business Input
7,1,202401,1827475.751,1628595.298,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,7_1_1,Business Input
8,1,202402,1825996.954,1625838.098,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,8_1_1,Business Input
9,1,202403,1821999.638,1618385.147,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,9_1_1,Business Input
10,1,202404,2960823.765,1962997.305,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,10_1_1,Business Input
11,1,202405,4636995.861,1445191.552,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,11_1_1,Business Input
12,1,202406,3470540.638,1744526.126,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,12_1_1,Business Input
13,1,202407,1874984.203,1717174.267,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,13_1_1,Business Input
14,1,202408,1831592.734,1636271.365,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,14_1_1,Business Input
15,1,202409,1715099.914,1419071.824,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,15_1_1,Business Input
16,1,202410,1852318.939,1674915.14,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,16_1_1,Business Input
17,1,202411,2891356.878,1680088.181,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,17_1_1,Business Input
18,1,202412,3097346.314,1832679.378,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,18_1_1,Business Input
