periodID,costInput,costDriverInput,costActivity,DataGranularityL1,DataGranularityL2,DataGranularityL3,DataGranularityL4
202206,1869430.584,1706819.607,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202207,1844246.334,1659863.859,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202208,1749444.407,1483106.741,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202209,1949199.523,1855547.889,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202210,1887525.308,1740557.016,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202211,1937734.247,1834171.013,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202212,1827475.751,1628595.298,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202301,1825996.954,1625838.098,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202302,1821999.638,1618385.147,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202303,2006828.952,1962997.305,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202304,1729108.971,1445191.552,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202305,1889654.101,1744526.126,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202306,1874984.203,1717174.267,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202307,1831592.734,1636271.365,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202308,1715099.914,1419071.824,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202309,1852318.939,1674915.14,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202310,1855093.448,1680088.181,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202311,1936934.224,1832679.378,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202312,1788221.986,1555407.098,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202401,1837903.64,1648037.979,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202402,1894565.256,1753682.919,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202403,1884521.855,1734957.112,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202404,1933440.052,1826164.535,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202405,1960644.243,1876886.44,Route 001 (Original),Belgium,Brussels,0% - 010%,0% - 100%
202206,1869430.584,1706819.607,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202207,1844246.334,1659863.859,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202208,1757398.902,1483106.741,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202209,1959151.57,1855547.889,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202210,1887525.308,1740557.016,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202211,1947571.642,1834171.013,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202212,1827475.751,1628595.298,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202301,1825996.954,1625838.098,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202302,1821999.638,1618385.147,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202303,2006828.952,1962997.305,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202304,1736860.112,1445191.552,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202305,1889654.101,1744526.126,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202306,1874984.203,1717174.267,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202307,1831592.734,1636271.365,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202308,1722710.965,1419071.824,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202309,1861302.18,1674915.14,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202310,1855093.448,1680088.181,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202311,1946763.618,1832679.378,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202312,1788221.986,1555407.098,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202401,1837903.64,1648037.979,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202402,1903970.961,1753682.919,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202403,1893827.126,1734957.112,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202404,1933440.052,1826164.535,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202405,1970710.737,1876886.44,Route 002,Belgium,Brussels,0% - 010%,0% - 100%
202206,1869430.584,1706819.607,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202207,1844246.334,1659863.859,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202208,1757398.902,1483106.741,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202209,1959151.57,1855547.889,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202210,1887525.308,1740557.016,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202211,1947571.642,1834171.013,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202212,1827475.751,1628595.298,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202301,1825996.954,1625838.098,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202302,1830679.686,1618385.147,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202303,2006828.952,1962997.305,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202304,1744611.254,1445191.552,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202305,1908367.287,1744526.126,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202306,1874984.203,1717174.267,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202307,1831592.734,1636271.365,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202308,1722710.965,1419071.824,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202309,1861302.18,1674915.14,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202310,1864104.435,1680088.181,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202311,1936934.224,1832679.378,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202312,1788221.986,1555407.098,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202401,1837903.64,1648037.979,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202402,1894565.256,1753682.919,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202403,1893827.126,1734957.112,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202404,1953028.957,1826164.535,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202405,1980777.232,1876886.44,Route 003,Belgium,Brussels,0% - 010%,0% - 100%
202206,1869430.584,1706819.607,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202207,1844246.334,1659863.859,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202208,1773307.894,1483106.741,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202209,1979055.664,1855547.889,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202210,1915531.223,1740557.016,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202211,1967246.43,1834171.013,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202212,1827475.751,1628595.298,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202301,1825996.954,1625838.098,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202302,1821999.638,1618385.147,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
