isGranular,dataGranularityL1,dataGranularityL2,dataGranularityL3,dataGranularityL4,runtTimeVersion,observationID,obsGroupID,PK_ID,Source
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,1,0,1_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,2,0,2_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,3,0,3_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,4,0,4_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,5,0,5_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,6,0,6_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,7,0,7_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,8,0,8_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,9,0,9_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,10,0,10_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,11,0,11_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,12,0,12_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,13,0,13_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,14,0,14_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,15,0,15_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,16,0,16_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,17,0,17_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,18,0,18_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,19,0,19_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,20,0,20_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,21,0,21_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,22,0,22_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,23,0,23_0_1,Business Input
Y,Belgium,Brussels,0% - 330%,0% - 400%,202506030528,24,0,24_0_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,1,1,1_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,2,1,2_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,3,1,3_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,4,1,4_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,5,1,5_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,6,1,6_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,7,1,7_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,8,1,8_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,9,1,9_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,10,1,10_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,11,1,11_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,12,1,12_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,13,1,13_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,14,1,14_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,15,1,15_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,16,1,16_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,17,1,17_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,18,1,18_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,19,1,19_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,20,1,20_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,21,1,21_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,22,1,22_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,23,1,23_1_1,Business Input
Y,Belgium,Brussels,0% - 310%,0% - 400%,202506030528,24,1,24_1_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,1,2,1_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,2,2,2_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,3,2,3_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,4,2,4_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,5,2,5_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,6,2,6_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,7,2,7_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,8,2,8_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,9,2,9_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,10,2,10_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,11,2,11_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,12,2,12_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,13,2,13_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,14,2,14_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,15,2,15_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,16,2,16_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,17,2,17_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,18,2,18_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,19,2,19_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,20,2,20_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,21,2,21_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,22,2,22_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,23,2,23_2_1,Business Input
Y,Belgium,Brussels,0% - 190%,0% - 200%,202506030528,24,2,24_2_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,1,3,1_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,2,3,2_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,3,3,3_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,4,3,4_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,5,3,5_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,6,3,6_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,7,3,7_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,8,3,8_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,9,3,9_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,10,3,10_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,11,3,11_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,12,3,12_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,13,3,13_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,14,3,14_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,15,3,15_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,16,3,16_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,17,3,17_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,18,3,18_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,19,3,19_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,20,3,20_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,21,3,21_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,22,3,22_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,23,3,23_3_1,Business Input
Y,Belgium,Brussels,0% - 020%,0% - 100%,202506030528,24,3,24_3_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,1,4,1_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,2,4,2_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,3,4,3_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,4,4,4_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,5,4,5_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,6,4,6_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,7,4,7_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,8,4,8_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,9,4,9_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,10,4,10_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,11,4,11_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,12,4,12_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,13,4,13_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,14,4,14_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,15,4,15_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,16,4,16_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,17,4,17_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,18,4,18_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,19,4,19_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,20,4,20_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,21,4,21_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,22,4,22_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,23,4,23_4_1,Business Input
Y,Belgium,Brussels,0% - 360%,0% - 400%,202506030528,24,4,24_4_1,Business Input
Y,Belgium,Brussels,0% - 070%,0% - 100%,202506030528,1,5,1_5_1,Business Input
Y,Belgium,Brussels,0% - 070%,0% - 100%,202506030528,2,5,2_5_1,Business Input
Y,Belgium,Brussels,0% - 070%,0% - 100%,202506030528,3,5,3_5_1,Business Input
Y,Belgium,Brussels,0% - 070%,0% - 100%,202506030528,4,5,4_5_1,Business Input
Y,Belgium,Brussels,0% - 070%,0% - 100%,202506030528,5,5,5_5_1,Business Input
Y,Belgium,Brussels,0% - 070%,0% - 100%,202506030528,6,5,6_5_1,Business Input
Y,Belgium,Brussels,0% - 070%,0% - 100%,202506030528,7,5,7_5_1,Business Input
Y,Belgium,Brussels,0% - 070%,0% - 100%,202506030528,8,5,8_5_1,Business Input
Y,Belgium,Brussels,0% - 070%,0% - 100%,202506030528,9,5,9_5_1,Business Input
Y,Belgium,Brussels,0% - 070%,0% - 100%,202506030528,10,5,10_5_1,Business Input
Y,Belgium,Brussels,0% - 070%,0% - 100%,202506030528,11,5,11_5_1,Business Input
Y,Belgium,Brussels,0% - 070%,0% - 100%,202506030528,12,5,12_5_1,Business Input
Y,Belgium,Brussels,0% - 070%,0% - 100%,202506030528,13,5,13_5_1,Business Input
